datetime,row,gst_e_invoice_number,registration_type,entity_name,quantity_tons,epr_invoice_number,status,message
2026-04-23T10:38:52.357Z,2,AF130252601336,Registered,UFLEX LIMITED,0.6525,202604238175633,Failed,Unknown error
2026-04-23T10:40:22.220Z,2,AF130252601336,Registered,UFLEX LIMITED,0.6525,9419115705,Failed,Unknown error
2026-04-23T10:40:56.945Z,3,AF130252601730,Registered,UFLEX LIMITED,2.1256999999999997,202604238175657,Filled,"Ă—
Note
Invoice number will be generated, make use of the same number in the invoice while uploading
Ă—
Success
Sales receipt saved successfully Invoice Id is :202604238175657"
2026-04-23T10:41:09.252Z,4,AF130252601785,Registered,UFLEX LIMITED,2.1444,,Failed,"locator.scrollIntoViewIfNeeded: Element is not attached to the DOM
Call log:
[2m  - attempting scroll into view action[22m
[2m    - waiting for element to be stable[22m
[2m    - element is not stable[22m
[2m  - retrying scroll into view action[22m
[2m    - waiting for element to be stable[22m
"
2026-04-23T10:41:16.520Z,5,AF130252601798,Registered,UFLEX LIMITED,9.3034,,Failed,"locator.scrollIntoViewIfNeeded: Element is not attached to the DOM
Call log:
[2m  - attempting scroll into view action[22m
[2m    2 Ă— waiting for element to be stable[22m
[2m      - element is not stable[22m
[2m    - retrying scroll into view action[22m
[2m    - waiting 20ms[22m
[2m    - waiting for element to be stable[22m
"
2026-04-23T10:44:46.972Z,2,AF130252601336,Registered,UFLEX LIMITED,0.6525,,Failed,"page.waitForTimeout: Target page, context or browser has been closed"
2026-04-23T10:50:25.580Z,2,AF130252601336,Registered,UFLEX LIMITED,0.6525,,Failed,Unknown error
2026-04-23T10:50:59.887Z,4,AF130252601785,Registered,UFLEX LIMITED,2.1444,202604238175704,Filled,
2026-04-23T10:51:29.039Z,5,AF130252601798,Registered,UFLEX LIMITED,9.3034,,Failed,"locator.waitFor: Timeout 20000ms exceeded.
Call log:
[2m  - waiting for locator('.form-group').filter({ has: locator('label').filter({ hasText: 'Registration Type' }) }).first() to be visible[22m
[2m    44 Ă— locator resolved to hidden <div _ngcontent-ng-c1973799827="""" class=""form-group ng-star-inserted"">â€¦</div>[22m
"
2026-04-23T10:51:56.661Z,6,AF130252601906,Registered,UFLEX LIMITED,2.1439,,Failed,"locator.waitFor: Target page, context or browser has been closed
Call log:
[2m  - waiting for locator('.form-group').filter({ has: locator('label').filter({ hasText: 'Registration Type' }) }).first() to be visible[22m
[2m    43 Ă— locator resolved to hidden <div _ngcontent-ng-c1973799827="""" class=""form-group ng-star-inserted"">â€¦</div>[22m
"
2026-04-23T10:55:36.331Z,2,AF130252601336,Registered,UFLEX LIMITED,0.6525,9419115705,Filled,
2026-04-23T10:56:22.963Z,5,AF130252601798,Registered,UFLEX LIMITED,9.3034,202604238175727,Filled,
2026-04-23T10:57:09.330Z,6,AF130252601906,Registered,UFLEX LIMITED,2.1439,202604238175728,Filled,
2026-04-23T10:57:59.195Z,7,AF130252601940,Registered,UFLEX LIMITED,6.60315,202604238175733,Filled,
2026-04-23T10:58:45.658Z,8,AF130252601981,Registered,UFLEX LIMITED,8.89041,202604238175740,Filled,
2026-04-23T10:59:32.071Z,9,AF130252602029,Registered,UFLEX LIMITED,2.02805,202604238175741,Filled,
2026-04-23T11:00:19.061Z,10,AF130252602030,Registered,UFLEX LIMITED,4.6243099999999995,202604238175744,Filled,
2026-04-23T11:00:21.466Z,11,AF130252602081,Registered,UFLEX LIMITED,4.9915,,Failed,"page.waitForTimeout: Target page, context or browser has been closed"
2026-04-23T11:04:49.836Z,11,AF130252602081,Registered,UFLEX LIMITED,4.9915,202604238175760,Filled,
2026-04-23T11:07:13.751Z,11,AF130252602081,Registered,UFLEX LIMITED,4.9915,202604238175767,Filled,
2026-04-23T11:07:53.712Z,12,AF130252602148,Registered,UFLEX LIMITED,5.702,202604238175770,Filled,
2026-04-23T11:08:18.222Z,13,AF130252602161,Registered,UFLEX LIMITED,1.4194,202604238175777,Filled,"Ă—
Note
Invoice number will be generated, make use of the same number in the invoice while uploading
Ă—
Success
Sales receipt saved successfully Invoice Id is :202604238175777"
2026-04-23T11:08:57.925Z,14,AF130252602184,Registered,UFLEX LIMITED,3.8018899999999998,202604238175780,Filled,
2026-04-23T11:09:37.571Z,15,AF130252602434,Registered,UFLEX LIMITED,4.67127,202604238175786,Filled,
